sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.31388357,32.22274832,0..30cm,28.0,15.0,39.0,38.0,13.0,66.0,34.0,19.0,51.0,1370.0,1230.0,1550.0,11.0,4.5,26.3,7.5,6.8,8.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.31388357,32.22274832,30..60cm,30.0,15.0,43.0,37.0,13.0,66.0,33.0,17.0,47.0,1460.0,1260.0,1650.0,4.5,2.1,8.5,7.6,6.9,8.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.31388357,32.22274832,60..100cm,30.0,16.0,43.0,38.0,14.0,65.0,31.0,15.0,45.0,1490.0,1230.0,1720.0,3.6,1.7,5.7,7.6,6.8,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.027,35.30364943,32.22191713,0..30cm,28.0,17.0,37.0,38.0,17.0,63.0,34.0,14.0,47.0,1390.0,1270.0,1530.0,11.2,5.0,24.9,7.5,6.7,8.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.027,35.30364943,32.22191713,30..60cm,29.0,14.0,43.0,39.0,15.0,65.0,31.0,17.0,44.0,1510.0,1320.0,1710.0,4.7,2.6,8.2,7.5,6.9,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.027,35.30364943,32.22191713,60..100cm,30.0,16.0,45.0,40.0,16.0,66.0,30.0,14.0,42.0,1560.0,1380.0,1750.0,3.6,2.0,5.8,7.6,6.9,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2098.053,35.29750711,32.22104888,0..30cm,25.0,13.0,35.0,41.0,18.0,62.0,34.0,20.0,47.0,1370.0,1250.0,1470.0,4.6,1.8,9.2,7.5,6.9,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2098.053,35.29750711,32.22104888,30..60cm,28.0,14.0,38.0,41.0,21.0,62.0,31.0,17.0,44.0,1500.0,1290.0,1650.0,3.8,1.8,7.0,7.6,7.0,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2098.053,35.29750711,32.22104888,60..100cm,29.0,16.0,40.0,42.0,21.0,62.0,29.0,15.0,43.0,1540.0,1290.0,1730.0,2.7,1.1,5.6,7.6,6.9,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3147.08,35.28960496,32.21590961,0..30cm,27.0,15.0,38.0,40.0,22.0,65.0,33.0,19.0,47.0,1410.0,1290.0,1530.0,8.4,3.4,18.5,7.6,7.2,8.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3147.08,35.28960496,32.21590961,30..60cm,28.0,15.0,39.0,41.0,24.0,65.0,32.0,16.0,44.0,1520.0,1340.0,1700.0,4.7,2.2,9.5,7.7,7.2,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3147.08,35.28960496,32.21590961,60..100cm,28.0,15.0,40.0,41.0,23.0,64.0,31.0,18.0,43.0,1550.0,1360.0,1770.0,3.5,1.2,8.7,7.7,6.9,8.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4196.106,35.28046583,32.21423215,0..30cm,27.0,15.0,38.0,41.0,20.0,66.0,33.0,16.0,48.0,1370.0,1240.0,1500.0,10.3,4.9,19.5,7.6,7.2,8.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4196.106,35.28046583,32.21423215,30..60cm,29.0,15.0,42.0,41.0,14.0,67.0,31.0,14.0,45.0,1470.0,1310.0,1670.0,5.1,2.7,8.8,7.7,7.1,8.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4196.106,35.28046583,32.21423215,60..100cm,29.0,14.0,42.0,41.0,15.0,68.0,30.0,15.0,43.0,1500.0,1250.0,1720.0,4.1,1.8,9.7,7.7,6.8,8.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5245.133,35.27098534,32.21681059,0..30cm,29.0,15.0,40.0,38.0,15.0,64.0,33.0,21.0,47.0,1380.0,1240.0,1540.0,9.0,3.8,17.3,7.7,7.3,8.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5245.133,35.27098534,32.21681059,30..60cm,30.0,16.0,42.0,39.0,12.0,63.0,32.0,18.0,44.0,1470.0,1270.0,1690.0,5.5,2.2,9.9,7.7,7.1,8.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5245.133,35.27098534,32.21681059,60..100cm,30.0,16.0,43.0,39.0,13.0,67.0,31.0,15.0,45.0,1500.0,1290.0,1740.0,4.2,1.6,8.3,7.7,6.9,8.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6294.159,35.2622233,32.22004883,0..30cm,22.0,10.0,33.0,48.0,26.0,72.0,30.0,15.0,42.0,1310.0,1140.0,1490.0,3.3,1.5,6.0,7.5,7.1,8.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6294.159,35.2622233,32.22004883,30..60cm,24.0,9.0,35.0,47.0,23.0,76.0,29.0,11.0,43.0,1430.0,1250.0,1620.0,2.7,1.0,5.7,7.6,7.1,8.2
