sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,7.40250285,5.10993082,0..30cm,20.0,10.0,27.0,63.0,43.0,83.0,17.0,3.0,30.0,1300.0,1130.0,1470.0,9.7,4.8,16.9,5.2,4.6,5.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,7.40250285,5.10993082,30..60cm,21.0,9.0,32.0,62.0,45.0,82.0,17.0,0.0,35.0,1320.0,1120.0,1540.0,4.2,2.0,7.7,5.2,4.6,5.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,7.40250285,5.10993082,60..100cm,22.0,8.0,36.0,62.0,42.0,82.0,17.0,0.0,32.0,1340.0,1150.0,1570.0,3.5,2.2,6.6,5.3,4.7,6.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,998.86,7.39497416,5.11227038,0..30cm,20.0,9.0,31.0,64.0,42.0,89.0,16.0,0.0,29.0,1310.0,1070.0,1490.0,8.6,4.6,15.0,5.3,4.7,5.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,998.86,7.39497416,5.11227038,30..60cm,20.0,7.0,32.0,65.0,44.0,85.0,15.0,0.0,32.0,1330.0,1160.0,1570.0,5.2,2.6,10.8,5.3,4.7,5.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,998.86,7.39497416,5.11227038,60..100cm,21.0,8.0,35.0,64.0,42.0,84.0,15.0,0.0,31.0,1340.0,1170.0,1600.0,5.6,2.7,11.6,5.4,4.7,6.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1359.4,7.39194106,5.11281028,0..30cm,21.0,9.0,31.0,64.0,43.0,86.0,15.0,0.0,29.0,1280.0,1110.0,1460.0,8.4,4.6,14.5,5.3,4.7,5.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1359.4,7.39194106,5.11281028,30..60cm,21.0,8.0,33.0,64.0,42.0,86.0,15.0,0.0,31.0,1290.0,1070.0,1480.0,5.1,2.5,10.4,5.3,4.7,6.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1359.4,7.39194106,5.11281028,60..100cm,21.0,8.0,35.0,64.0,42.0,86.0,14.0,0.0,30.0,1320.0,1130.0,1570.0,5.5,2.9,11.4,5.4,4.7,6.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1997.72,7.38662211,5.11389008,0..30cm,20.0,9.0,29.0,66.0,44.0,88.0,14.0,0.0,29.0,1260.0,1020.0,1460.0,9.9,4.8,18.4,5.3,4.7,5.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1997.72,7.38662211,5.11389008,30..60cm,21.0,8.0,30.0,66.0,44.0,85.0,14.0,0.0,33.0,1240.0,1030.0,1460.0,4.4,2.0,8.1,5.4,4.7,6.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1997.72,7.38662211,5.11389008,60..100cm,21.0,9.0,31.0,65.0,42.0,86.0,14.0,0.0,33.0,1290.0,1020.0,1540.0,3.8,2.2,6.6,5.5,4.7,6.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,2718.8,7.38064354,5.11518281,0..30cm,22.0,9.0,34.0,62.0,38.0,88.0,16.0,0.0,33.0,1290.0,1060.0,1490.0,10.6,4.6,19.3,5.4,4.7,6.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,2718.8,7.38064354,5.11518281,30..60cm,22.0,8.0,34.0,61.0,35.0,86.0,16.0,0.0,38.0,1290.0,1080.0,1490.0,5.9,2.8,12.8,5.4,4.7,6.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,2718.8,7.38064354,5.11518281,60..100cm,23.0,8.0,36.0,61.0,35.0,87.0,16.0,0.0,37.0,1320.0,1140.0,1540.0,5.4,2.8,11.5,5.5,4.8,6.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,2718.8,7.38064354,5.11518281,0..30cm,22.0,9.0,34.0,62.0,38.0,88.0,16.0,0.0,33.0,1290.0,1060.0,1490.0,10.6,4.6,19.3,5.4,4.7,6.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,2718.8,7.38064354,5.11518281,30..60cm,22.0,8.0,34.0,61.0,35.0,86.0,16.0,0.0,38.0,1290.0,1080.0,1490.0,5.9,2.8,12.8,5.4,4.7,6.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,2718.8,7.38064354,5.11518281,60..100cm,23.0,8.0,36.0,61.0,35.0,87.0,16.0,0.0,37.0,1320.0,1140.0,1540.0,5.4,2.8,11.5,5.5,4.8,6.2
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,2732.95,7.38055312,5.11527302,0..30cm,22.0,9.0,34.0,62.0,38.0,88.0,16.0,0.0,33.0,1290.0,1060.0,1490.0,10.6,4.6,19.3,5.4,4.7,6.0
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,2732.95,7.38055312,5.11527302,30..60cm,22.0,8.0,34.0,61.0,35.0,86.0,16.0,0.0,38.0,1290.0,1080.0,1490.0,5.9,2.8,12.8,5.4,4.7,6.2
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,2732.95,7.38055312,5.11527302,60..100cm,23.0,8.0,36.0,61.0,35.0,87.0,16.0,0.0,37.0,1320.0,1140.0,1540.0,5.4,2.8,11.5,5.5,4.8,6.2
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,2747.1,7.38044895,5.11532981,0..30cm,22.0,9.0,34.0,62.0,38.0,88.0,16.0,0.0,33.0,1290.0,1060.0,1490.0,10.6,4.6,19.3,5.4,4.7,6.0
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,2747.1,7.38044895,5.11532981,30..60cm,22.0,8.0,34.0,61.0,35.0,86.0,16.0,0.0,38.0,1290.0,1080.0,1490.0,5.9,2.8,12.8,5.4,4.7,6.2
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,2747.1,7.38044895,5.11532981,60..100cm,23.0,8.0,36.0,61.0,35.0,87.0,16.0,0.0,37.0,1320.0,1140.0,1540.0,5.4,2.8,11.5,5.5,4.8,6.2
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,2747.1,7.38044895,5.11532981,0..30cm,22.0,9.0,34.0,62.0,38.0,88.0,16.0,0.0,33.0,1290.0,1060.0,1490.0,10.6,4.6,19.3,5.4,4.7,6.0
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,2747.1,7.38044895,5.11532981,30..60cm,22.0,8.0,34.0,61.0,35.0,86.0,16.0,0.0,38.0,1290.0,1080.0,1490.0,5.9,2.8,12.8,5.4,4.7,6.2
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,2747.1,7.38044895,5.11532981,60..100cm,23.0,8.0,36.0,61.0,35.0,87.0,16.0,0.0,37.0,1320.0,1140.0,1540.0,5.4,2.8,11.5,5.5,4.8,6.2
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,3747.529,7.37210692,5.11632111,0..30cm,21.0,9.0,31.0,64.0,40.0,87.0,15.0,0.0,31.0,1250.0,940.0,1500.0,9.1,4.1,19.0,5.4,4.7,6.0
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,3747.529,7.37210692,5.11632111,30..60cm,21.0,7.0,31.0,65.0,41.0,87.0,14.0,0.0,35.0,1230.0,860.0,1520.0,6.2,2.1,14.9,5.5,4.7,6.3
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,3747.529,7.37210692,5.11632111,60..100cm,22.0,7.0,35.0,65.0,42.0,87.0,14.0,0.0,33.0,1260.0,1110.0,1530.0,6.3,2.4,18.1,5.5,4.7,6.3
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,4747.958,7.36924401,5.12012058,0..30cm,22.0,10.0,32.0,61.0,38.0,87.0,17.0,0.0,34.0,1270.0,1020.0,1470.0,9.3,4.4,17.3,5.2,4.7,5.9
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,4747.958,7.36924401,5.12012058,30..60cm,23.0,10.0,36.0,60.0,36.0,86.0,17.0,0.0,37.0,1250.0,1030.0,1470.0,5.3,2.5,10.4,5.3,4.7,6.0
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,4747.958,7.36924401,5.12012058,60..100cm,24.0,10.0,39.0,60.0,37.0,86.0,16.0,0.0,37.0,1270.0,1090.0,1550.0,5.4,2.6,10.8,5.4,4.7,6.2
