asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality,product_family
KAR-SYS-001,karachi,system,whole railway,Karachi railway system,,,,,,"24.65,66.85 to 25.1,67.3",system,
KAR-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
KAR-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,KAR-SYS-001,,,,fleet,service,metro-6car
