sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,48.82920301,15.96137925,0..30cm,17.0,3.0,31.0,63.0,34.0,90.0,21.0,7.0,34.0,1490.0,1290.0,1700.0,2.2,0.6,5.1,8.1,6.7,9.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,48.82920301,15.96137925,30..60cm,18.0,4.0,34.0,62.0,32.0,91.0,20.0,5.0,34.0,1480.0,1300.0,1680.0,1.3,0.2,2.9,8.0,6.2,9.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,48.82920301,15.96137925,60..100cm,19.0,4.0,34.0,61.0,32.0,91.0,21.0,5.0,36.0,1530.0,1280.0,1710.0,1.2,0.3,2.6,8.0,6.5,9.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.672,48.82160354,15.95729912,0..30cm,18.0,5.0,31.0,60.0,34.0,86.0,22.0,9.0,34.0,1490.0,1330.0,1700.0,2.6,1.4,4.8,8.1,6.7,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.672,48.82160354,15.95729912,30..60cm,19.0,6.0,34.0,60.0,32.0,87.0,21.0,5.0,36.0,1480.0,1300.0,1610.0,1.7,0.6,3.4,8.1,6.5,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.672,48.82160354,15.95729912,60..100cm,19.0,5.0,35.0,59.0,29.0,89.0,22.0,6.0,37.0,1520.0,1300.0,1690.0,1.5,0.5,3.2,8.1,6.5,9.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.344,48.81374739,15.95382067,0..30cm,18.0,5.0,33.0,60.0,29.0,85.0,22.0,9.0,34.0,1490.0,1340.0,1700.0,3.0,1.3,6.0,8.0,6.7,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.344,48.81374739,15.95382067,30..60cm,19.0,5.0,35.0,59.0,30.0,87.0,21.0,6.0,36.0,1510.0,1360.0,1610.0,1.7,0.6,3.5,8.0,6.5,9.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.344,48.81374739,15.95382067,60..100cm,20.0,5.0,35.0,59.0,32.0,88.0,22.0,7.0,36.0,1530.0,1360.0,1690.0,1.5,0.5,2.6,8.0,6.5,9.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3005.016,48.80532847,15.95166108,0..30cm,19.0,6.0,32.0,58.0,31.0,81.0,23.0,10.0,35.0,1460.0,1330.0,1650.0,2.8,0.5,5.6,8.4,7.7,9.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3005.016,48.80532847,15.95166108,30..60cm,20.0,7.0,34.0,59.0,32.0,87.0,21.0,7.0,34.0,1510.0,1350.0,1620.0,2.1,0.5,4.8,8.6,8.0,9.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3005.016,48.80532847,15.95166108,60..100cm,19.0,7.0,30.0,59.0,38.0,87.0,22.0,7.0,32.0,1540.0,1420.0,1690.0,1.7,0.3,4.6,8.5,7.7,9.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4006.689,48.79771691,15.94760993,0..30cm,18.0,7.0,28.0,60.0,37.0,81.0,22.0,10.0,34.0,1460.0,1320.0,1660.0,2.9,1.3,6.3,7.9,6.7,8.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4006.689,48.79771691,15.94760993,30..60cm,20.0,6.0,35.0,60.0,32.0,87.0,21.0,6.0,35.0,1490.0,1300.0,1610.0,1.9,0.8,3.9,7.9,6.6,9.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4006.689,48.79771691,15.94760993,60..100cm,20.0,6.0,38.0,58.0,23.0,87.0,22.0,7.0,37.0,1510.0,1300.0,1670.0,1.7,0.7,3.8,8.0,6.5,9.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5008.361,48.79046391,15.94374257,0..30cm,19.0,7.0,33.0,59.0,30.0,82.0,23.0,10.0,37.0,1450.0,1320.0,1690.0,2.5,0.9,6.9,8.4,7.7,9.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5008.361,48.79046391,15.94374257,30..60cm,19.0,7.0,34.0,60.0,33.0,84.0,21.0,7.0,34.0,1500.0,1350.0,1650.0,1.7,0.4,3.7,8.6,8.0,9.7
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5008.361,48.79046391,15.94374257,60..100cm,19.0,7.0,32.0,59.0,35.0,84.0,22.0,7.0,34.0,1530.0,1350.0,1690.0,1.6,0.3,3.8,8.6,7.8,9.8
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6010.033,48.78852529,15.94752186,0..30cm,17.0,6.0,26.0,62.0,39.0,82.0,21.0,9.0,33.0,1460.0,1320.0,1650.0,2.3,0.6,6.6,8.4,7.7,9.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6010.033,48.78852529,15.94752186,30..60cm,19.0,5.0,34.0,61.0,32.0,89.0,20.0,6.0,34.0,1510.0,1340.0,1690.0,1.8,0.2,4.6,8.6,8.0,9.7
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6010.033,48.78852529,15.94752186,60..100cm,19.0,4.0,34.0,60.0,32.0,90.0,21.0,6.0,36.0,1540.0,1360.0,1680.0,1.7,0.3,4.6,8.6,7.7,9.8
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7011.705,48.78005061,15.94807238,0..30cm,20.0,10.0,35.0,56.0,31.0,78.0,24.0,12.0,37.0,1460.0,1280.0,1660.0,3.4,1.3,7.5,8.0,7.2,8.7
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7011.705,48.78005061,15.94807238,30..60cm,21.0,9.0,35.0,56.0,31.0,80.0,23.0,10.0,36.0,1500.0,1330.0,1680.0,2.1,0.9,3.8,8.5,8.0,9.4
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7011.705,48.78005061,15.94807238,60..100cm,21.0,9.0,35.0,56.0,33.0,79.0,23.0,11.0,35.0,1510.0,1320.0,1700.0,1.7,0.7,3.2,8.5,7.9,9.4
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7086.95,48.77942124,15.94824172,0..30cm,19.0,9.0,31.0,58.0,37.0,81.0,23.0,11.0,34.0,1470.0,1330.0,1680.0,2.6,1.0,5.1,8.5,7.8,9.1
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7086.95,48.77942124,15.94824172,30..60cm,19.0,7.0,30.0,61.0,37.0,82.0,21.0,8.0,32.0,1520.0,1360.0,1680.0,1.7,0.4,3.4,8.8,8.1,9.7
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7086.95,48.77942124,15.94824172,60..100cm,19.0,7.0,30.0,60.0,38.0,82.0,21.0,9.0,34.0,1550.0,1380.0,1730.0,1.3,0.4,2.9,8.8,8.0,9.8
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8013.377,48.7724429,15.94558276,0..30cm,15.0,3.0,26.0,67.0,45.0,90.0,19.0,6.0,30.0,1520.0,1340.0,1700.0,1.9,0.7,5.0,7.9,6.6,9.2
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8013.377,48.7724429,15.94558276,30..60cm,16.0,2.0,34.0,67.0,32.0,93.0,17.0,3.0,34.0,1530.0,1400.0,1690.0,1.5,0.3,3.0,7.8,6.2,9.1
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8013.377,48.7724429,15.94558276,60..100cm,15.0,2.0,33.0,67.0,32.0,93.0,18.0,4.0,35.0,1560.0,1420.0,1730.0,1.2,0.3,2.6,7.8,6.2,9.2
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9015.049,48.76465602,15.94194291,0..30cm,17.0,4.0,28.0,62.0,37.0,89.0,21.0,8.0,34.0,1510.0,1340.0,1670.0,2.5,0.8,5.8,8.0,6.7,9.0
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9015.049,48.76465602,15.94194291,30..60cm,18.0,3.0,35.0,63.0,32.0,93.0,19.0,5.0,37.0,1530.0,1380.0,1690.0,1.8,0.4,4.6,7.9,6.3,9.1
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9015.049,48.76465602,15.94194291,60..100cm,18.0,3.0,37.0,62.0,29.0,92.0,21.0,5.0,37.0,1570.0,1450.0,1710.0,1.6,0.3,4.5,7.9,6.6,9.3
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10016.722,48.75686372,15.93831603,0..30cm,19.0,8.0,34.0,58.0,32.0,78.0,23.0,12.0,35.0,1520.0,1370.0,1680.0,2.9,1.2,5.7,8.4,7.7,9.1
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10016.722,48.75686372,15.93831603,30..60cm,20.0,7.0,33.0,59.0,36.0,82.0,22.0,10.0,34.0,1520.0,1390.0,1650.0,1.8,0.7,3.9,8.9,8.2,9.7
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10016.722,48.75686372,15.93831603,60..100cm,19.0,7.0,30.0,59.0,37.0,82.0,22.0,10.0,34.0,1530.0,1300.0,1690.0,1.4,0.5,2.4,8.9,8.2,9.8
